symbol	log2FoldChange	padj
PFDN6	-0.582279191	0.002530354
METTL26	-0.571783803	0.00258357
RPSA	-0.511446017	0.002586139
HIF3A	0.519582508	0.002598067
TNS1	0.640093669	0.002615736
MRPL12	-0.564365419	0.002666879
BCL7A	0.391574005	0.002669553
FAM222B	0.397274552	0.002673265
MYCT1	0.345408809	0.002745442
RPS28	-1.111578043	0.002748683
ZNF469	0.44822489	0.002748683
ARPC5L	-0.430761029	0.002757303
PSMG4	-0.679192065	0.00283876
JTB	-0.480319221	0.002881912
PRSS3	-0.585965321	0.002907968
RIOX1	-0.406817872	0.002909782
SELENOW	-0.534477792	0.002929962
HSD17B2	0.897307236	0.002929962
ATP6V0E1	-0.578711457	0.002929962
CLPP	-0.528051045	0.002946248
ZNF420	0.792169275	0.002958645
RARA-AS1	-0.703843706	0.002958645
MYH9	0.297498655	0.002962246
AMIGO1	0.708254203	0.002966573
ANAPC15	-0.743665762	0.003008999
RPL9	-0.502511738	0.003014965
INSIG1	0.377787083	0.003044397
SOD1	-0.554841413	0.003045031
MAN2B1	0.420689804	0.003056714
DNPH1	-0.626046232	0.003094114
MADD	0.288620483	0.003109327
NME2	-0.540028307	0.003137353
TRIM4	0.327411952	0.003171877
MRPL54	-0.675051576	0.003197841
AP2S1	-0.600733148	0.003207862
AC078883.1	0.821758812	0.003229912
MZT2A	-0.674901612	0.003229912
BTG2	0.276907678	0.003251941
ARPC3	-0.428583564	0.003256236
FOXO4	0.578497772	0.003257012
AGPAT5	0.411695113	0.003273507
METTL5	-0.49358543	0.003277456
NFE2L1	0.399405382	0.003295979
WFS1	0.433487391	0.003298374
ZDHHC9	0.348932966	0.003298374
APOPT1	-0.425559851	0.003298374
NUAK1	0.436109996	0.003298374
COA1	-0.487359087	0.003335116
CRKL	0.37818779	0.003349546
PAXX	-0.638244872	0.003378417
ZNF880	-0.720776224	0.003379225
SEL1L	0.593155608	0.00338641
BST2	-0.521053539	0.00338641
CDKN1B	0.391504508	0.00338641
LSM3	-0.584903854	0.00338641
EDF1	-0.569348918	0.00338641
JPT1	-0.47124107	0.003402996
PGM1	0.324315562	0.003411293
C16orf91	-0.820773984	0.003462334
NUDT2	-0.525420807	0.003495235
ZNF22	0.383213517	0.003502109
PAM16	-0.745662218	0.003502109
MYL6	-0.520271566	0.003540534
MRPS16	-0.579860002	0.003553099
GPX8	-0.363883052	0.003563358
AC007998.3	-0.454495862	0.003571518
SF3B6	-0.510514957	0.003625709
RIOK3	0.392159903	0.003704218
NRP2	0.446949447	0.003704218
RNF40	0.30005881	0.003741364
IFI27L1	-0.727015035	0.003751557
RPS3	-0.529172793	0.003751557
RALB	0.305865112	0.003768217
PPRC1	-0.352012183	0.003768723
YWHAE	0.244395523	0.003790532
NFATC2	0.569917783	0.003803696
VAT1L	0.754798082	0.003820942
BLOC1S4	-0.536315645	0.003843232
HECTD4	-0.439851605	0.003851181
RPS3A	-0.472821701	0.00389324
MRPS31	-0.497885163	0.00389324
ENY2	-0.560605006	0.003898648
CARD8-AS1	-0.535815488	0.003910806
COMMD4	-0.559811359	0.003944385
NDUFB11	-0.511717761	0.003966835
CENPX	-0.504885798	0.003969661
TLK1	0.555277334	0.003972879
C19orf44	0.655958529	0.004015689
NENF	-0.614117208	0.004028589
GAS5	-0.490457972	0.004063911
ATG14	0.309754469	0.00407016
HDAC1	0.234526861	0.00407016
UAP1	-0.345565114	0.004094467
QARS	0.348244781	0.004152309
PPP2CA	0.298635952	0.004155455
AC016876.2	-0.755334169	0.004190366
PDCD10	-0.413618539	0.004191106
GPI	0.320787505	0.004213492
CHCHD6	-0.652275715	0.004214566
SMIM4	-1.204269178	0.004227174
SRSF5	-0.287333393	0.004249014
TRIB1	0.457544241	0.004256181
POM121C	0.513057411	0.004287527
EPHB4	0.332375652	0.004287563
TAF1D	-0.422821169	0.004293459
BTG3	-0.475618805	0.004323565
PSMA5	-0.507871261	0.004323565
SPAAR	-0.52204386	0.004391847
RASSF2	0.360115297	0.004414534
NFIB	0.455988741	0.004415969
BBC3	-0.5134176	0.004425976
NUMA1	0.374880007	0.004431536
GTF2H5	-0.747793539	0.004452618
TCF7L1	0.363621884	0.004452618
COPRS	-0.56672278	0.004461671
TMA7	-0.643961042	0.004478724
POLR2I	-0.65731585	0.004480309
CANX	0.403604831	0.004482864
GLRX3	-0.454706525	0.004485472
EEF1D	-0.534885762	0.004499889
PDLIM3	-0.483592468	0.004547672
ATP5D	-0.696993086	0.004573983
CHCHD1	-0.607774384	0.004573983
AC073896.2	-1.307654268	0.004577202
POLR2L	-0.667822959	0.004577202
SDAD1P1	0.836842455	0.004644033
MYL12B	-0.442122292	0.004655509
ZNF302	0.461275864	0.004674859
NDUFA6	-0.495161245	0.004678175
IFITM3	-0.569112955	0.004678175
SPCS1	-0.500794257	0.004678175
C16orf74	-0.718443424	0.004714503
RBM39	0.380034577	0.004726007
PTRH2	-0.548923986	0.004726007
COX4I1	-0.522661497	0.004726007
TP53TG1	-0.534446625	0.004766108
TCP11L2	0.737971077	0.004845368
FAM210A	0.543468627	0.004845368
GADD45GIP1	-0.6733647	0.004845368
CHD3	0.333899063	0.004864607
FOSL1	-0.519974021	0.004881279
SRC	0.277981784	0.004897686
PCDHGA11	0.368916647	0.004899855
GLCE	0.417747732	0.004927787
SRSF7	-0.411181614	0.004997918
PDLIM7	-0.406042335	0.005059887
ZBTB4	0.338198672	0.005059887
ALDH1B1	-0.405842703	0.005059887
CLIC1	-0.434590161	0.005059887
RAPGEF5	0.5354352	0.005059887
TBC1D9B	0.256241748	0.005130779
PPP1R35	-0.65979336	0.005135987
SERINC1	0.348443195	0.005185488
ANP32E	0.388369094	0.00529114
BCR	0.35652253	0.00529114
COX7A2	-0.536306045	0.005337749
KIAA0141	0.261346899	0.005352258
RNF144A	0.514964779	0.005356395
SYS1	0.361078801	0.0053909
BUD23	-0.407510843	0.0053909
TMEM256	-0.644652148	0.00544427
PRKCH	0.330092143	0.005458811
ZBTB8OS	-0.564892433	0.00547526
SNHG1	-0.406504717	0.005495054
MMRN2	0.267401422	0.005506697
MPI	0.327765738	0.00550817
KDM2B	0.305685244	0.005543522
RBAK	0.443335388	0.005589513
CXCL2	0.944408876	0.005592868
EMC7	-0.430903483	0.005597202
MRPL11	-0.496915157	0.005669545
NATD1	0.344057569	0.005726363
NDUFA2	-0.580091841	0.005731493
BCL6	0.579926546	0.005731888
CMC1	-0.680644926	0.005731982
BACE2	0.322304562	0.005740081
PTGER4	-0.430334758	0.005787217
ALKBH3	-0.546530359	0.005787217
RPL7A	-0.440535884	0.005787217
IGFBP6	-0.543669788	0.005787217
MRPL17	-0.510257899	0.00579265
ERG	0.361683123	0.005792697
ANKRD28	0.530031717	0.005820272
MRPS23	-0.392100841	0.005863975
GPRC5A	0.417350733	0.005884157
ARHGAP22	-0.347914993	0.005902441
RPS15	-0.537613561	0.005920789
UQCRFS1	-0.526205982	0.005992517
TTC28-AS1	-0.514263272	0.005996375
IFRD2	-0.421389328	0.005996375
POMP	-0.483514821	0.005996375
MRPS28	-0.517513841	0.006001728
BLVRB	-0.529009715	0.006001728
C1QBP	-0.397171566	0.006001728
NFIX	0.344530346	0.006001728
EPB41L1	0.495754158	0.006016673
HLX	0.522485289	0.006031359
ENKD1	-0.515610737	0.006033391
MRPL40	-0.536694161	0.006039189
GIPC2	0.397787584	0.006108679
RPS27L	-0.545484949	0.006108679
RPS27L	-0.545484949	0.006108679
AIF1L	0.43632911	0.006123096
RPS6	-0.447336439	0.006130478
SVBP	-0.541096047	0.006133111
WSCD1	0.39401577	0.006148359
WSCD1	0.39401577	0.006148359
PRDX1	-0.419684124	0.006148359
UAP1L1	0.291106193	0.006152739
SULT1C4	0.544093323	0.006302242
GMFG	-0.844101683	0.006302242
SLC1A1	0.337550735	0.006302242
SIVA1	-0.618063211	0.006357986
ANKRD39	-0.621115324	0.006416343
ZNF596	0.91180338	0.006429032
ETFA	-0.320193614	0.006487407
PCDH12	0.550528308	0.006487407
ZNHIT3	-0.551478928	0.006517795
CYTL1	-0.470033739	0.006573025
GSTO1	-0.496656899	0.006573025
TPM2	-0.497808183	0.006641355
NDUFA7	-0.779052771	0.00666486
NDUFA13	-0.615344469	0.006726332
COL1A1	-1.457929756	0.006745705
WDTC1	0.278364627	0.006745705
SNAI1	-0.629596254	0.006756703
NTN4	0.317624822	0.006756703
PPP3CB-AS1	0.639724436	0.00679056
SMN1	-0.571054071	0.00679056
AC106795.1	-0.671963206	0.00679056
DOC2B	0.955504748	0.00679056
VPS26A	0.323898051	0.00679056
TRBC2	-0.494340099	0.006810006
MERTK	0.394027484	0.006826189
SDHAF2	-0.528082947	0.006835146
STAT1	0.341818741	0.006838728
MYADM	-0.39927671	0.006854498
TIMP1	-0.503107323	0.006870889
GCOM1	0.589163014	0.006914605
OSBPL10	0.39435166	0.006940321
PDGFB	0.300737387	0.006973495
ZNF480	-0.482415062	0.006978473
TCTEX1D2	-0.679655008	0.006978473
KIT	0.446943856	0.007011219
HSPB11	-0.45537529	0.007011219
ITGB1BP1	-0.473150841	0.007076235
TIMM8A	-0.61649393	0.00712078
SERINC3	0.344680878	0.007149509
ANXA3	-0.345507998	0.007169937
RPL5	-0.416300209	0.007217266
FEN1	-0.459450856	0.007264544
MYLIP	-0.343324614	0.007313846
CENPV	-0.502930622	0.007313846
RFXANK	-0.481264836	0.007313846
LYAR	-0.374468395	0.007322862
RPS2	-0.427985378	0.007322862
MIF	-0.545197801	0.007322862
KRT10	-0.744010474	0.007322862
CINP	-0.409244247	0.007324279
RABAC1	-0.519886928	0.007347233
EEF1E1	-0.451546404	0.007358021
NUMBL	0.358579238	0.007358021
CTNNB1	0.423047269	0.007429174
EIF1B	-0.436300036	0.007554199
HES2	-0.553584779	0.00755747
POLR2J	-0.604410757	0.00755747
HSPA4	-0.277807996	0.00755747
RPL22	-0.458142707	0.007578375
RPA3	-0.690683147	0.007613949
OSBP2	0.345364645	0.007785565
DDX17	0.361818679	0.007835869
TTI2	0.432871598	0.007855911
UGCG	0.422325407	0.007877706
EXOSC7	-0.501714482	0.007919721
MSRB2	-0.464533366	0.007974529
KIF13B	0.324057367	0.007993393
NDUFA11	-0.622560717	0.008021816
GABARAPL1	0.37484899	0.008049288
PLAUR	-0.453458019	0.008140928
GRK5	0.298509694	0.008301527
PHLDB2	0.389351811	0.008348661
ECE1	0.248726174	0.008364215
CTNNAL1	0.328638505	0.008410538
NBPF1	0.421091767	0.008416434
ZNF697	-0.374628766	0.00842869
DCPS	-0.6448357	0.008481672
POLR3K	-0.581141771	0.008523462
ATP5O	-0.40814973	0.008585203
NIP7	-0.350033182	0.0086045
ING5	-0.506339721	0.008638747
BLVRA	-0.495666885	0.008646813
GMNN	-0.444603933	0.008646813
NYAP1	0.415611616	0.008738119
NUDT5	-0.408632728	0.008738119
SH3BP5	0.309121266	0.008738119
CHCHD2	-0.453916232	0.008785823
FH	-0.327896802	0.008793864
KCNMA1	-0.559911932	0.008793864
SEM1	-0.671455711	0.008813043
NME1	-0.473443097	0.008833415
EIF6	-0.462292291	0.008862202
RANBP1	-0.393839532	0.008897595
EHD4	-0.260673797	0.008928226
SLC25A37	0.398499932	0.008928226
PLEKHH3	-0.497302706	0.008973494
UBXN2A	-0.39267183	0.00899486
MARS2	-0.546903697	0.009020415
PSMB6	-0.482932542	0.009020467
CHORDC1	0.343685219	0.009061332
SMARCC2	0.291518377	0.009115263
DOHH	-0.582403099	0.009117564
SORT1	0.457230061	0.00913239
PTGFRN	0.293815326	0.009138394
PDCD2L	-0.593667108	0.009138394
KIF3C	0.310516982	0.009138394
SMAGP	-0.391969982	0.009170571
NID1	0.400011923	0.009218329
MRPL13	-0.608290301	0.009237591
SNRPA1	-0.327959977	0.00924021
PVR	-0.273220619	0.00924021
ZNF326	0.403471725	0.009340801
FKBP11	-0.564252099	0.009340801
SPRY4	-0.438135615	0.009390344
NFU1	-0.506337558	0.009441223
MT1A	-1.266749699	0.009441223
MRPS14	-0.423857347	0.009441223
TMEM121	-0.772513182	0.009465465
FAM177A1	-0.34090773	0.009528548
H2AFV	-0.328427219	0.009529171
ISCU	-0.408106361	0.009529171
CRMP1	0.558783075	0.009625598
MRPL18	-0.392921185	0.009688166
POLR2K	-0.354585858	0.009688166
CITED4	-0.741166371	0.009688166
ZBTB14	0.483424142	0.009698748
HOPX	-0.54057139	0.00975165
VPS25	-0.394141452	0.009839844
STXBP1	0.367541913	0.009839844
PFDN4	-0.544612583	0.009844487
HSPE1	-0.552093779	0.009919757
FKBP3	-0.353065133	0.009961328
NDUFA8	-0.462607621	0.00998188
STEAP1	-0.454708172	0.010027046
APLN	0.260264807	0.010082001
AL591806.3	0.458272516	0.01012379
CAPG	-0.446102109	0.010149483
YIPF5	0.274117035	0.010179284
YWHAG	0.248330412	0.010179495
PDCL3	-0.407359004	0.010404345
RGS4	-0.420800814	0.010512419
MED10	-0.351394743	0.01062961
RPL32	-0.517210958	0.010639611
ACVR1B	0.310433502	0.010649639
TUBB4B	-0.380250219	0.010649639
MTSS1L	0.388402057	0.010746289
SNRPN	-0.402444871	0.010802067
SNRPN	-0.402444871	0.010802067
FAM24B	-0.902735504	0.010802067
GGA2	0.466863706	0.010802067
NA	0.59722491	0.010828851
MRPS25	-0.440578615	0.010842728
C11orf74	-0.47618908	0.010842728
RFTN1	0.300378609	0.010851341
RAI1	0.335096048	0.010851341
ZNF28	-0.777625823	0.010851341
SNHG3	-0.629096171	0.010851341
CWC15	-0.496280815	0.010851341
TRIM22	0.372301263	0.010863389
RPL23AP82	-0.479759718	0.010874729
VPS41	0.49130589	0.010874729
SEMA4C	0.35724594	0.010883907
FAM96B	-0.569809119	0.010954211
KAT7	0.391031408	0.010963692
LYPLAL1	-0.528775871	0.011043774
ECSCR	-0.391887526	0.011094148
KTI12	-0.427163705	0.011094148
MANBAL	-0.410013627	0.011101977
CIB1	-0.51525124	0.011122833
GPRASP2	0.42367288	0.011125732
GPRASP2	0.42367288	0.011125732
HIVEP3	-0.551969963	0.011125732
AP003419.2	-0.65341872	0.011125732
FAT1	-0.556771106	0.011196108
PSMB5	-0.38638364	0.011248788
IFI6	-0.614034361	0.011296102
HSD17B4	0.398430419	0.011297667
CDC42EP3	0.395300998	0.011363251
MKNK2	0.338758938	0.011375851
CHCHD7	-0.405652904	0.011429001
ARHGDIB	-0.331363613	0.01144139
PPP1R14B	-0.45852483	0.01144139
C19orf60	-0.580850019	0.011455547
FKBP2	-0.555380823	0.011517393
BRD1	0.294624325	0.01156525
RNF123	0.334830094	0.011596497
AURKAIP1	-0.528664857	0.011621609
EPHB1	0.573101351	0.011660214
ALAS1	-0.301256606	0.011660214
MYC	-0.384603598	0.011661359
SMIM7	-0.413104277	0.011773246
MRPL28	-0.366030255	0.011803
RPL3	-0.395052743	0.011803
ACAD11	0.307078629	0.011871763
GALE	-0.435590332	0.011877889
EPC2	0.388492364	0.0119097
RPL8	-0.465802777	0.012044255
HIKESHI	-0.364466946	0.012060891
CBR3	-0.531928763	0.012070355
BX088645.1	0.666091561	0.01210791
EIF2AK3	0.356558896	0.012273565
SH3D21	0.426407831	0.012314205
TBC1D3D	0.49682599	0.012363728
NMT1	0.278086456	0.012416197
C20orf27	-0.499765636	0.012491687
CARD10	0.304126244	0.012491767
STX3	0.336853446	0.012493357
PRPF38B	0.297006523	0.012509474
FSTL1	0.381515397	0.012528698
STX7	0.361207539	0.012592291
WDR89	0.454880909	0.012620545
COPS2	0.332121888	0.012680522
MT-ND6	-0.411382044	0.012680522
NDUFB5	-0.385364457	0.012686204
ZSCAN31	0.38543474	0.01269392
SNAPC5	-0.452037479	0.01269392
IL6R	0.455703031	0.012738581
ABHD17C	0.377099311	0.012738581
VSIG1	-0.559928965	0.012738581
ERMAP	0.347007966	0.012840833
MRPL55	-0.537687863	0.012860227
NBDY	-0.463090965	0.012962842
CYC1	-0.424437618	0.012980854
COA6	-0.514064229	0.013221965
VRK1	-0.381705687	0.01325296
ATP5G2	-0.43999768	0.013272791
RPS27A	-0.418782525	0.013272791
AC132938.6	0.981208971	0.013285296
NPEPPS	0.384563621	0.013285296
PSMC3IP	-0.559172897	0.013285296
RBM8A	-0.324404038	0.013285296
BROX	0.369196233	0.013292599
BCAS2	-0.328539171	0.013390318
TMBIM1	0.27918514	0.013390318
SNRPB	-0.452552444	0.013393234
NDUFS8	-0.494909693	0.013403966
NDUFB6	-0.637154396	0.013415254
BEX3	-0.393935302	0.01345155
LYN	0.598051544	0.013481984
TRIAP1	-0.373938463	0.013541223
HNRNPAB	-0.293662898	0.01355545
NDUFAF3	-0.545290771	0.013589552
AC010642.2	-0.529539882	0.01364471
MRPL50	-0.397860839	0.013686283
MRPS7	-0.376389139	0.013700325
LDB2	0.349532646	0.013712326
METTL12	-0.803519664	0.013731692
COL5A2	0.306753442	0.013768983
CNTNAP1	0.305115468	0.013789775
DHX30	-0.284211621	0.013817272
SLC35A3	0.405944541	0.013817272
PTTG1	-0.441331281	0.013870763
ETFB	-0.500426824	0.013878555
COL6A1	0.32237698	0.01400538
SELENOM	-0.537792478	0.014073943
OSBPL5	0.399249903	0.014095778
TMEM14C	-0.340956565	0.014124827
CAMTA1	-0.545225464	0.014139932
FOXC2	-0.342034195	0.01417628
CIART	0.717764484	0.014210743
SMIM30	-0.374954449	0.014227907
STAT6	0.254238429	0.014238458
CDCA3	-0.485000286	0.01427614
COL5A1	0.299889212	0.01427614
CDC20	-0.367296003	0.014291515
FAM173A	-0.510709033	0.014301396
NDUFAB1	-0.458159615	0.014323946
CXADR	0.411845941	0.014356369
ZNF770	0.414329149	0.014371569
CSTF3	-0.324046626	0.014520031
CU633906.1	-1.269419079	0.014520031
AL355312.3	-0.875116691	0.014520031
STK32C	-0.686251612	0.014520031
FOXP1	0.417442753	0.014570751
EIF2AK1	0.390278134	0.01457455
MAP3K6	-0.34615641	0.014749165
PPP6R3	0.395346438	0.014789853
SLC25A5	-0.291670276	0.014789853
ARL4D	-0.663469074	0.014797124
C9orf16	-0.540527207	0.014797124
DANCR	-0.389822928	0.014797124
ORMDL2	-0.510069829	0.01484053
MARCKS	0.251657878	0.014892405
NME3	-0.50150437	0.014893393
RPL7	-0.317996337	0.014893393
LAGE3	-0.612816012	0.014900957
EMC9	-0.473137133	0.014905646
MRPL47	-0.460119041	0.014914855
PIM1	0.415531756	0.014914855
ARHGAP24	-0.275108404	0.014914855
LPCAT2	0.338999279	0.014918822
6-Sep	0.294474624	0.014925019
UQCR11	-0.877776532	0.014940824
MRPS17	-0.449036616	0.014940824
CLCN3	0.357627225	0.014976243
MRM3	-0.39488406	0.014990302
KCTD7	0.338116358	0.015066944
IGFBP7	-0.434297943	0.015085398
NUP50-AS1	-0.777922557	0.015232697
PDGFD	0.433492512	0.015308918
MRPL58	-0.518563491	0.015311714
TPT1	-0.364190386	0.015385301
NT5C	-0.524227503	0.015447148
PIGBOS1	-0.638376573	0.015508734
SDC4	-0.271410381	0.015520972
PPME1	0.282766705	0.015537572
NA	0.637858038	0.015839534
SBDS	-0.27508484	0.01592677
EEF1B2	-0.362662202	0.015928132
PRKD2	-0.311622654	0.015976305
WSB1	0.357456739	0.016015691
PRR34-AS1	-0.964176491	0.016015691
VWF	0.295632458	0.016034935
FLT4	0.350447157	0.016034935
C2CD4B	-0.595795802	0.016034935
DARS	0.475528611	0.016034935
NHP2	-0.415598593	0.01605451
C20orf24	-0.380165414	0.016067088
ITGB4	0.407721373	0.016079574
HEXIM1	0.282014634	0.016081321
ARFIP1	0.29995528	0.016101262
EIF4ENIF1	0.4066436	0.016103765
OS9	0.243502013	0.016134674
RPL23AP42	-0.385781486	0.016260323
FABP5	-0.407722984	0.016296751
COA3	-0.469100668	0.016296751
HBEGF	-0.368481225	0.016296751
NDUFAF4	-0.636074898	0.01630486
THYN1	-0.404399853	0.01630486
MAPKAPK5-AS1	-0.46886414	0.01630486
RUNX1T1	0.586343267	0.016309713
LRRCC1	0.513937927	0.016345023
TALDO1	-0.386251305	0.016345023
POP7	-0.484645869	0.016345023
SDF2L1	-0.567628286	0.016345023
SERTAD3	-0.407662321	0.016345023
AGAP1	0.400541382	0.016386613
COL4A2	0.302244579	0.016399702
PER1	0.339941385	0.016399702
SMARCD2	0.264700376	0.016550351
MDH1	-0.323090964	0.016566602
AIP	-0.423681235	0.016566602
RPP21	-0.66805749	0.016566602
RPP21	-0.66805749	0.016566602
TFB2M	-0.397692468	0.016566602
KIN	-0.609692485	0.016566602
ATP6AP2	0.253814463	0.016657628
UQCRH	-0.431872297	0.016878024
EPC1	0.3131809	0.01693111
GPRC5B	0.283963321	0.016940434
BTN3A2	0.338246148	0.017170185
ALDOC	0.61971168	0.017170185
NEK6	0.348290755	0.017296645
AC245595.1	-0.894790096	0.017343479
AC245595.1	-0.894790096	0.017343479
MT-CO1	-0.305843558	0.01739133
SPACA6	-0.459399981	0.017500424
KDM5B	0.387184341	0.017542361
RPL13A	-0.456595442	0.017542361
NEDD8	-0.406752146	0.017542361
SLC46A1	-0.441333671	0.01776764
RBX1	-0.40188221	0.017847484
ARL6IP1	0.323439615	0.018023923
LOXL2	0.278035849	0.018037042
ARL6IP4	-0.456270831	0.018180774
PHACTR1	0.433999371	0.018180774
ARRDC4	-0.562603959	0.018180774
DNAJC3	0.347250711	0.018255065
U2AF1L5	-0.47321226	0.018255065
TRIM25	0.3338283	0.018278254
PDRG1	-0.45339732	0.018282635
TXNRD2	-0.431432139	0.018305515
MTDH	0.349662339	0.018372312
AC090825.1	0.462854779	0.018381886
SLC46A3	0.586149153	0.018476474
UBE2O	0.32981278	0.018476474
CHMP2A	-0.407754891	0.018476474
TMEM208	-0.526169867	0.018478631
UQCC3	-0.541254639	0.01848271
BUD13	-0.362754994	0.018522102
MAN2A2	0.245774445	0.01856317
TMEM126A	-0.490792418	0.018689908
PPP1CC	0.302619318	0.018757168
CLK4	0.451431067	0.018858362
CCDC107	-0.44828817	0.018875454
SFT2D1	-0.461456276	0.018906538
LTBP1	0.235172543	0.018906538
CAP2	0.380637631	0.018983862
SCNM1	-0.376801939	0.018999744
SCNM1	-0.376801939	0.018999744
ELOB	-0.512854033	0.019008239
HAGLR	0.299008863	0.019059371
NOTCH2NL	-0.541492662	0.019108006
NOTCH2NL	-0.541492662	0.019108006
WWP1	0.392061121	0.019241225
NDUFB8	-0.39973305	0.019494222
MTSS1	0.383315935	0.019494334
MYCN	-0.74441503	0.019517583
CTPS1	-0.302916451	0.019550034
EIF3K	-0.344797269	0.01960167
PRCP	0.317092305	0.01960167
ECHS1	-0.372553379	0.01960512
GATC	-0.243063894	0.01976046
FTL	-0.413867777	0.019809447
PPM1D	0.294741093	0.01983159
TRIM52	0.438494015	0.019919987
TGIF2	0.363430189	0.019975113
RPL10	-0.379776423	0.020001941
TSPO	-0.495803852	0.020048605
MIER2	-0.277587196	0.020048605
EID2	-0.407746452	0.020135562
WDR83OS	-0.465421985	0.02014236
GIGYF1	0.289220767	0.020210453
PHPT1	-0.529772386	0.020221355
ANKRD33B	0.360921987	0.020221355
TLE1	0.307919902	0.020221355
EPOP	0.440031945	0.020464105
BOLA3	-0.608907071	0.020622278
PTDSS1	0.258085837	0.02076521
HOXD8	0.370955812	0.02094572
SLC40A1	0.375041122	0.020958232
FXYD5	-0.390457273	0.02099743
MRPL53	-0.484401602	0.02099743
EPHA2	-0.292212542	0.021123246
PMAIP1	-0.375535624	0.021136366
PMM2	-0.254781888	0.021145849
CDKN2B	-0.507961801	0.021166454
DNLZ	-0.572945502	0.021185115
ITPA	-0.439501341	0.021199817
TCAF2P1	0.771296814	0.021349849
NUDCD3	0.293430931	0.021349849
ZNF274	-0.415233557	0.021373251
IL33	0.476197165	0.021378962
AC003002.1	-0.671547589	0.021379353
DECR1	-0.360120226	0.021380788
AC068946.1	0.67026158	0.021432153
GLG1	0.317543231	0.021432153
A2M	0.507432016	0.021502541
PHF21A	0.355934827	0.021526223
APOBEC3F	-0.492774998	0.021558207
DEXI	-0.322338899	0.021585898
VAMP8	-0.496205618	0.021651594
DNAJB9	0.418032631	0.021675388
ZFP41	0.378200948	0.0218623
NA	-0.391815335	0.021872646
PCDHGB5	0.33951643	0.021908179
MAFK	0.322762057	0.021996889
MRPL36	-0.456186132	0.022049615
HIST3H2A	-0.526906373	0.022141786
RAD1	-0.337824411	0.022169943
ELL	0.367388632	0.022246395
MYO10	0.517994083	0.022300167
OAZ1	-0.383347922	0.022300167
SF3B5	-0.42263766	0.022317448
HDAC6	0.387722132	0.02243714
MAVS	0.238507371	0.022475807
SIK2	0.34533805	0.022475807
CCPG1	0.341743151	0.022623904
RPL28	-0.531599365	0.022623904
GINS2	-0.45189639	0.022636456
SNCG	-0.459324043	0.022642708
DCUN1D5	-0.342342925	0.022650935
HMMR	0.305186824	0.02285399
COPZ1	0.277343606	0.02285399
FBXL20	0.458364515	0.022916154
AC060766.1	0.676861342	0.02300095
PACSIN2	0.265654806	0.023013367
PTS	-0.444506397	0.023017628
LTV1	-0.307116282	0.023034969
CCDC106	-0.437864705	0.023043832
CHCHD5	-0.660296707	0.023044633
CEBPZOS	-0.368924817	0.023100211
PRKAR1A	0.316218513	0.023133833
PRDX4	-0.378299269	0.023202499
WDR74	-0.3471267	0.023203904
PLPP3	-0.32587542	0.023391662
DHH	-0.40639522	0.023391662
TUFM	-0.339765216	0.023429284
TRAM2	0.318884502	0.023429284
RAB3D	0.248994999	0.023534975
TNFSF15	0.366092109	0.023782947
UBL5	-0.491700188	0.023784555
RPL9P9	-0.924904565	0.023784555
NR2C2AP	-0.562078753	0.023881741
TIE1	0.295622482	0.023959568
ABL1	0.258994306	0.023996473
TIMM9	-0.451755902	0.023996473
CARD16	-0.48041626	0.024012257
POLE4	-0.534110665	0.024062322
YDJC	-0.443447246	0.024138832
SCYL1	-0.253513021	0.024138832
RNASEH2C	-0.497411736	0.024138832
DNMT3A	0.312336767	0.024325166
RHEB	-0.327377508	0.024325166
DLL1	0.475777333	0.024325166
KDM4A	0.267756259	0.024333575
TMEM127	0.206180746	0.024338919
H2AFJ	-0.557987298	0.024459797
OSTF1	-0.305158127	0.024492009
TMEM123	0.275669762	0.024541245
HRAS	-0.475235311	0.024555669
TAPBP	0.297705045	0.024581643
KRT18	-0.346715935	0.024596265
UBL3	0.286559855	0.024639522
IQGAP1	0.330238552	0.024738209
NDUFB7	-0.510787154	0.024751007
EI24	0.222864999	0.02487688
ADIRF	-0.599706319	0.024968171
ARHGEF17	0.262331125	0.024968171
ARRDC1-AS1	-0.415894537	0.024968171
TMEM2	0.32037105	0.02498719
MIR22HG	-0.376644933	0.02507067
EIF1	-0.306887773	0.025134523
GOLIM4	0.313258574	0.025380844
TGFBR3	0.411170664	0.025395696
MAN2B2	0.330376877	0.025395696
CLDND1	0.279005647	0.025395696
CAPZA2	0.251374792	0.025422517
MYRIP	0.301037745	0.025450307
SOCS5	0.345052849	0.025503229
MATR3	0.320839536	0.025549471
ZNF287	-0.649938182	0.025622848
ATP5J2	-0.422905279	0.025626991
CYTH2	0.301904037	0.025802835
DYSF	0.225600582	0.025902343
SRM	-0.389646959	0.025966312
MMRN1	0.38819238	0.026071694
ADAM23	0.266204511	0.02613372
CKS1B	-0.423651067	0.026141861
CST3	-0.425435777	0.02617051
AC016876.1	-0.652187657	0.02617051
ARHGEF6	0.396236245	0.026224858
MITD1	-0.332567172	0.026335089
LLPH	-0.378374562	0.026418682
VAMP5	-0.47906322	0.026527189
UBA6-AS1	0.37966991	0.026531429
UNC13D	0.640175871	0.026574783
TRMT10C	-0.286392723	0.026576234
SURF2	-0.556145224	0.026576234
HOXA-AS2	-0.472690322	0.026655915
LHFPL6	0.282741117	0.02677143
ATXN7L3B	0.237083943	0.026774899
