symbol	log2FoldChange	padj
PLEK2	-0.704540217	0.000686391
PRDX1	-0.574441299	0.000686503
NUF2	-0.609407181	0.000686503
MAN2B2	0.539287416	0.000688752
RPA3	-1.003656005	0.000695335
ECI2	-0.539517922	0.00069734
JCAD	0.628248316	0.000697991
RBM28	-0.538256263	0.000699928
KLF2	-0.678071403	0.000709685
EMILIN2	-0.807442092	0.000720495
MRM3	-0.605723537	0.000730319
EXOSC2	-0.636699618	0.000730553
CLIP3	0.787269514	0.000733938
GLG1	0.50256129	0.000734156
TOX4	0.416568168	0.000734903
ATP11A	0.898993432	0.000747533
CSTF3	-0.489086858	0.000754094
EHD2	0.354343878	0.000778398
DARS2	-0.439362735	0.000778593
GGCT	-0.496536978	0.000778593
NOL9	-0.465334135	0.000785147
ID1	-0.74816756	0.00080586
TTBK2	0.628136599	0.000809626
HOPX	-0.791947365	0.000811249
SCN1B	-0.65317761	0.000814877
PRC1	-0.59322789	0.00081632
SGCB	0.491666487	0.00081632
SIGMAR1	-0.382434127	0.00081693
MTX1	-0.584654121	0.000821315
SIRPA	0.3588517	0.000826768
AL365181.3	0.888547543	0.000836993
ELOC	-0.620646768	0.000838531
SNED1	0.609425728	0.000844184
PHF10	0.423188177	0.000844184
MERTK	0.531939752	0.000853274
ATAD3B	-0.726292635	0.000858587
PDLIM5	0.46514515	0.000859279
SNRK	0.492234296	0.000863089
PAXX	-0.809267457	0.000868846
PCDHGB4	0.740905091	0.000882653
PSMA3	-0.586952325	0.000893435
KIF18B	-0.533403496	0.00089899
ZDBF2	0.779208778	0.000901104
CCNI	0.417703129	0.000904065
BOK	0.492301458	0.000906814
TNFRSF10C	0.596344743	0.00090707
CREBZF	0.432736678	0.000909273
CDCA4	-0.530424061	0.000909381
FANCE	-0.64733172	0.000909551
TIMM13	-0.777204663	0.000926966
CHCHD2	-0.63150807	0.000926966
DKC1	-0.427119199	0.000926966
EXOSC7	-0.698488778	0.000932578
NRBP2	0.511970736	0.000943973
SNRPB	-0.677681552	0.000956407
MRPL18	-0.556341341	0.000962582
DAZAP1	-0.450630278	0.000962582
VEGFC	0.637234388	0.000972618
HSPA9	-0.429362738	0.00097802
CMSS1	-0.71000173	0.000990969
GATAD2B	0.827771436	0.00099952
PARPBP	-0.700360916	0.0010041
CRELD1	0.529614072	0.001008218
NEAT1	-0.585129252	0.001010432
KIAA0753	0.497237264	0.001015134
N4BP3	0.452711747	0.001052322
SENP7	0.737559098	0.001062764
PRPF31	-0.496400987	0.00106438
ZNF641	1.143541492	0.001071689
RPA2	-0.501569508	0.001078108
FAM173A	-0.773846973	0.001088732
ZNF160	0.579432267	0.001088732
FERMT3	-0.486726943	0.001089431
COQ2	-0.605549295	0.001089431
UBE2K	-0.523257405	0.00109493
H2AFX	-0.659665028	0.001094994
GAB2	0.480915895	0.001100867
SNCAIP	1.080641087	0.001109522
OGDH	-0.344293015	0.00111765
LSM6	-0.63864934	0.00111765
NUMA1	0.470186904	0.001120379
C17orf53	-0.905896867	0.001125855
TXNDC17	-0.683535703	0.00113572
LIMD1	0.601168619	0.001152897
SLC25A5	-0.420714871	0.001172187
SNX33	0.469810579	0.001176899
CENPM	-1.098492376	0.001184792
CYTH2	0.476365248	0.001184806
PECAM1	0.602197241	0.001196457
MRPL57	-0.628079435	0.001206087
DCLRE1B	-0.573331708	0.001221668
SLC25A37	0.532114376	0.001240255
ALDH16A1	-0.665231308	0.001241596
SRM	-0.62832728	0.001263155
MPZL2	0.409941434	0.001277208
PVR	0.364320983	0.001281923
PARP2	-0.574492655	0.001281923
SNX9	0.36929836	0.001281923
MPP6	-0.520237542	0.001281923
PSMD1	-0.333052506	0.001298199
SDC2	1.306737714	0.001305367
PCDHGB5	0.517868709	0.001319704
SNHG15	-0.798542179	0.001334114
GAL	-1.296378815	0.001334114
CYP1A1	-0.796320749	0.001338492
WDR1	0.329899744	0.001347993
C11orf98	-0.814160045	0.001348415
PODN	0.832357184	0.001400327
PAQR4	-0.578006749	0.001421326
AC024909.3	0.878000685	0.001428927
GATA2	-0.476502378	0.001432935
UQCR10	-0.780831811	0.00143761
TMEM171	-1.179427051	0.001438326
BCAS2	-0.466921324	0.00144063
TUSC2	-0.685384479	0.001462584
AL139300.1	-1.233532681	0.001462584
MTG1	-0.506255278	0.001465353
NRP1	0.499965708	0.001472228
NA	0.840847342	0.001482887
FBXO17	-0.49464322	0.001482887
PDCD5	-0.710838288	0.001482892
SPRY1	0.807432683	0.001491922
CLDN10	-1.407708951	0.001491922
HMCES	-0.438400228	0.001491922
MAGED4B	0.520410821	0.001508584
CHCHD1	-0.760308747	0.001508584
NYAP1	0.55344597	0.001512391
HOTAIRM1	-0.781237776	0.001524372
SLC16A3	0.723426274	0.001529777
CENPL	-0.731555593	0.001529777
TPP1	0.636118131	0.00153079
POLR3H	-0.680507533	0.00153547
TLE6	1.455884274	0.00153547
DOC2B	1.230228504	0.001541809
LSM5	-0.795758962	0.00154427
NOS3	-0.423759526	0.001545262
CISD1	-0.669678926	0.001546016
CGNL1	0.482905829	0.001550119
H2AFV	-0.43968969	0.00155667
ASPH	0.40458456	0.001557101
NAA38	-0.90403031	0.001560228
ATP5G3	-0.623152677	0.001568618
AIF1L	-0.583000297	0.001575613
AURKAIP1	-0.741135549	0.001576841
HMGB1	-0.377952218	0.001594595
PSMC3IP	-0.829800088	0.00159786
DHCR24	-0.57542656	0.001605627
PNP	-0.455835145	0.001605627
SNRPG	-0.69652587	0.001605627
PJA2	0.490632064	0.001608208
RRP36	-0.573537275	0.001608208
UQCRQ	-0.815279941	0.001623181
MRPS25	-0.603580258	0.001623181
AC073957.3	0.808268526	0.00162793
EIF2AK3	0.48723535	0.001657763
IL1RAP	0.649587617	0.001674845
TFRC	-0.561973007	0.001674845
RTL10	0.373831348	0.001676613
RHOB	0.509422615	0.001676613
TLR4	0.614529953	0.001681763
HAT1	-0.483014548	0.001700087
FH	-0.429634575	0.001712496
OPTN	0.460175283	0.001721257
BDH1	-0.872025872	0.001721257
BCL6	0.72483641	0.001727009
SDHB	-0.504941904	0.001728623
ADAMTS4	-0.811969557	0.00174975
AC007388.1	-0.688013887	0.00174975
MRPL41	-0.757380379	0.001756332
EXOSC8	-0.691696971	0.001768072
SS18L2	-0.78234009	0.00177303
POLR3E	-0.510467948	0.001783187
POLR3E	-0.510467948	0.001783187
MEF2D	0.470649748	0.001783187
ACBD3	0.39714229	0.001784391
CENPI	-0.584467388	0.001790682
MYEOV	-0.673565954	0.001831945
DCPS	-0.857110451	0.001843578
EFNB1	-0.372494873	0.001850895
CTGF	0.454160966	0.00185774
PFKFB3	0.398576389	0.001863912
SRPX2	0.330480034	0.001880104
ZNF397	0.693450617	0.001902637
PSMA5	-0.609066713	0.001902637
CLDND1	0.414633917	0.00190529
PPP1R3C	0.748037745	0.001910199
EXOC4	0.4398549	0.001915437
COX5A	-0.597309574	0.001918305
CU634019.1	0.068755835	0.001918305
TMEM63B	0.530235512	0.001956971
PSMD14	-0.439075496	0.001956971
RABGAP1	0.400505973	0.00196974
RABGAP1	0.400505973	0.00196974
COL12A1	0.584981509	0.001972865
DLL1	-0.75826495	0.001980144
NAALAD2	0.613215671	0.001983271
PSMA6	-0.507709619	0.00198962
TPI1	0.526670657	0.002001825
PGF	0.535667542	0.002020541
RRP8	-0.498064055	0.002022874
EXOC6	0.541504422	0.00202311
AC099548.2	0.495251173	0.00202311
CENPH	-0.77964012	0.002034032
MMRN1	0.59614058	0.002079192
EXT1	0.444400795	0.002084326
C7orf26	-0.533562717	0.002086971
CHST2	0.567225084	0.002086971
ATP5J	-0.645491766	0.002086971
ADAM15	-0.427780362	0.002086971
PLEKHA2	0.71310394	0.002086971
SLIT2	0.50231529	0.002098537
DDX17	0.46437447	0.002124341
RBAK	0.53995827	0.002142206
ZMYND8	0.574550346	0.002143897
STOML2	-0.527260632	0.002143897
PLPP3	-0.486274508	0.002154511
WNK4	0.983522958	0.002179533
SLC16A1	0.489634012	0.002199219
CD109	0.70369169	0.002199219
CDT1	-0.658578259	0.002199583
MELK	-0.589009417	0.002225702
HTR1B	0.459877447	0.002239785
STK38L	0.532948574	0.002243209
PRR11	-0.383955251	0.002257818
UCHL3	-0.595350576	0.002263977
CALU	0.362112885	0.002276536
NUDC	-0.52260729	0.002277311
COG6	0.568563498	0.002303758
LAMC1	0.553370536	0.002320644
PLS3	0.373684426	0.002320644
LRP8	-0.626649885	0.002337553
KIAA0319L	0.498858844	0.002354757
AGTRAP	-0.610152917	0.002360229
MRPS15	-0.584094731	0.002383765
CDK5RAP1	-0.688758898	0.002417264
TBL3	-0.739537045	0.002420139
FAM60A	0.423954422	0.002425611
SLX4IP	0.603516987	0.002456598
AIMP2	-0.571250958	0.002460378
SRD5A3	-0.48703028	0.00247302
LRRC45	-0.476008998	0.002475815
EFEMP1	0.323677006	0.002475815
HNRNPDL	-0.348534413	0.002490259
TATDN3	-0.849565303	0.002501215
CASC4	0.437821762	0.002504296
SRP19	-0.495488555	0.002511627
FDX1	-0.564482825	0.002515183
MXD3	-0.799516182	0.002518592
ALG3	-0.457652759	0.00252278
GABPB1-AS1	-0.491719013	0.00252278
SYBU	-0.800971155	0.002527269
NDUFA11	-0.787714872	0.002541494
PTTG1IP	0.286525956	0.002553039
COQ3	-0.933443358	0.002553039
NDUFB3	-0.531166301	0.002556324
SATB1	0.873719829	0.002578785
HTATSF1	-0.332920617	0.002586041
NTMT1	-0.694892929	0.002590541
SELENOK	-0.600755473	0.002595924
IGF2	0.929356826	0.002596776
S100A6	-0.605409302	0.002602934
KIF24	-0.766941866	0.00264369
S1PR3	-0.469997667	0.002649275
MT1A	-1.751745412	0.00264999
TRIB3	-0.535492071	0.00264999
RNF20	0.638185164	0.002686104
ABHD4	0.368496867	0.002692279
PCCB	-0.390284753	0.002692279
PARL	-0.521370094	0.002694274
TAGLN	0.550766459	0.002700907
SLC30A1	0.525250335	0.002705825
ZBTB4	0.397629162	0.002707933
LATS2	0.471807333	0.002707933
NA	1.45275364	0.002707933
KHNYN	0.468471123	0.002765537
HOXD4	0.67425337	0.002765537
PFDN2	-0.715342335	0.002765537
TIMM10	-0.810913649	0.002774103
DLGAP4	0.321212266	0.002778078
BCCIP	-0.454335138	0.002780925
EDNRB	0.569491107	0.002781754
PAN2	0.631197992	0.002792298
CHCHD10	-0.935815527	0.002796721
LSM3	-0.659118163	0.00279868
CSNK1A1	0.385375478	0.00279868
GBP1	0.462967428	0.00280265
OSBPL5	0.534725742	0.002804347
TK1	-0.609904876	0.00281521
RPS6KB2	-0.498019646	0.002832649
CDKN2A	-0.867264457	0.002832649
ATP7A	0.689407428	0.002833351
GLRX3	-0.528713306	0.002833354
SLC27A4	-0.581991331	0.002835985
TMEM256	-0.767715751	0.002846118
NHP2	-0.576455407	0.002850618
POP1	-0.546099525	0.002858678
PCDHGA11	0.429652197	0.002879518
TMEM45A	0.971027279	0.002881495
MKRN1	0.366344117	0.002881495
EFHD2	-0.591767171	0.002908484
COPS9	-0.728788515	0.002923369
AC090825.1	0.646613204	0.002934944
PSMD7	-0.335996454	0.002934944
PALM2-AKAP2	0.551090778	0.002965265
MRPS7	-0.495695074	0.002970271
LMO2	-0.499892925	0.00297106
BRIX1	-0.568873592	0.002984867
ZSCAN29	0.747129364	0.002999106
HMGN2	-0.510540425	0.003003949
TCP11L2	0.8548661	0.003023246
SNX5	-0.338088931	0.003063995
E2F2	-0.869733641	0.003082939
HEG1	0.601203569	0.003085336
PSMB4	-0.539078747	0.003085955
C19orf53	-0.562727927	0.003148125
MALSU1	-0.647489026	0.003168125
AIFM1	-0.469362057	0.003190931
ANAPC7	-0.471148306	0.003190931
FAH	-0.749773613	0.00321239
POP7	-0.670448775	0.003213436
FNDC3B	0.607073585	0.003213436
GINS3	-0.602549152	0.003213436
EWSAT1	1.268099922	0.003243478
HNRNPD	-0.36164409	0.003243478
CYB5B	-0.400548211	0.003260153
IDS	0.43677536	0.003277448
RNF149	-0.348837978	0.003323088
POLD2	-0.531915276	0.003340407
WWTR1	0.436105581	0.003352788
BRCA2	-0.636794556	0.003352788
RBM39	0.433402351	0.003382573
UTP18	-0.419088927	0.003418876
NUDT5	-0.502718549	0.003420757
RUVBL2	-0.537780539	0.00344286
YDJC	-0.65191114	0.003443843
NFATC4	0.37330799	0.003456871
ESPL1	-0.474355767	0.003460083
SCAMP2	0.371919754	0.00346452
C20orf194	0.442521051	0.00348989
TEAD4	-0.417240334	0.003510951
NQO2	-0.720409844	0.003520884
SCFD2	-0.490180029	0.003596147
SDC4	0.349416441	0.003596442
NEK9	0.434440064	0.003607186
CNST	0.502634032	0.003625
POP5	-0.741411094	0.003660589
CENPF	-0.699790006	0.003675975
STRIP2	-0.433873612	0.003697992
FKBP3	-0.438748598	0.003715642
TIMM22	-0.464155386	0.003717509
ACP5	-1.790843657	0.003718377
SPSB2	-1.010800722	0.003734244
SPSB2	-1.010800722	0.003734244
NDUFA4	-0.625531114	0.003763075
SLC37A2	-0.883196022	0.003766812
PRELID1	-0.557205364	0.003771149
HMGB3	-0.470344193	0.003771149
TBC1D1	-0.351604487	0.003771149
CSNK1G3	0.437722725	0.003771149
PREX1	-0.300602311	0.003771149
NUDT15	-0.501523656	0.003771149
COX17	-0.816190293	0.003771149
KIAA1147	0.485018239	0.003771149
ASRGL1	-0.473250711	0.003771149
PSMB5	-0.494066709	0.003773543
MTATP6P1	-0.63441055	0.003785122
HSPA1B	-0.400406414	0.003795639
TRAPPC2L	-0.747488811	0.003801162
ABCC3	-0.762606197	0.003801162
TXNL4A	-0.565790229	0.003852565
PBDC1	-0.479256579	0.003861066
SNRPE	-0.663972153	0.003893174
F2R	0.319753697	0.003898959
TRMT61A	-0.585477983	0.00392334
CXCL2	1.06906121	0.003926756
RBBP7	-0.333946604	0.003926756
FOSL1	-0.585305235	0.00394164
TRBC2	-0.583580802	0.003947144
NDUFB4	-0.59259602	0.003947144
LSM4	-0.611533376	0.003953179
MRPS23	-0.453188221	0.00396772
FKBP9	0.464530721	0.003971786
CCDC18	-0.687621385	0.00398476
NPEPPS	0.491594447	0.003992368
COL13A1	-0.454747193	0.003996178
MYBBP1A	-0.406122831	0.004000186
ARHGEF39	-0.958751214	0.004021814
CLK4	0.610156705	0.004029417
RPP40	-0.699975744	0.004033454
SULT1C4	0.62889949	0.004077431
MTSS1	0.519175088	0.004077431
AL133352.1	0.919786848	0.004093086
MCAT	-0.561948082	0.004107964
ROMO1	-0.789050367	0.004115005
TMPO-AS1	-0.890642655	0.004131821
DNMT3A	0.432611404	0.004148317
PET100	-0.907228777	0.004158781
POLE2	-0.849034123	0.004170767
ALDH1B1	-0.458783832	0.004170767
IL4R	0.488933168	0.004211357
FBRS	0.285503457	0.004216944
GNL2	-0.367467977	0.00422452
INCENP	-0.372552015	0.004258258
RFC3	-0.535611222	0.004258838
PDK1	0.70340711	0.004258838
RELA	0.295202389	0.004284274
KLF10	0.401756803	0.004284898
MRPL36	-0.640398449	0.004375075
ROBO4	0.338365078	0.004378301
GCKR	-1.310986163	0.004398543
COL6A1	0.407678579	0.004408774
WASL	0.465207726	0.004415003
STOM	0.332926905	0.004439312
NDUFC1	-0.583419674	0.004450532
UQCC3	-0.740122077	0.004450532
HINT1	-0.464518969	0.004451198
WDR34	-0.61053688	0.00445583
FARS2	-0.519741451	0.004475226
LINC01013	0.427304413	0.004476495
PLCG2	0.804879098	0.00447858
GVINP1	0.757537939	0.004481128
CEBPB	-0.676178831	0.004483048
EPC1	0.406368439	0.004519673
PSMD11	-0.398956533	0.00457577
SLC35E4	-0.551157685	0.00457577
MED24	-0.386086266	0.004581689
KDM5B	0.508962669	0.004605511
APLNR	-2.029243892	0.004615537
SLC46A3	0.788466832	0.004618618
PARK7	-0.523416519	0.004623106
PSMB6	-0.578975798	0.004683516
NAA20	-0.381267009	0.004692018
ST8SIA6	1.37523199	0.004744075
ZBTB44	0.583390136	0.004744787
CTNND1	0.450456617	0.004750794
RGS4	-0.510373525	0.004769055
GGA2	0.569889388	0.004772458
QPCTL	-0.680421193	0.004814864
UBE2L3	-0.373965847	0.004814864
ELOVL6	-0.714575549	0.004852283
ADAMTS15	1.695304213	0.004852309
JPH3	-0.87247817	0.004857276
MFSD2A	-1.332997485	0.004857276
DHX40	0.473566166	0.004864884
ZNF827	0.610884929	0.004864884
WDR60	0.432667721	0.004864884
EIF2B3	-0.544072782	0.004864884
LY6E	-0.605139034	0.004895323
PSMD2	-0.355424056	0.004918679
HSD17B10	-0.618858332	0.004987864
USMG5	-0.601960775	0.005075254
PDGFC	0.617905535	0.005089583
MED10	-0.426071053	0.00512261
NATD1	0.382487064	0.005132039
LAMA2	1.644795355	0.005174291
MRPL42	-0.416199989	0.005174291
ITGA9-AS1	-0.915500408	0.005182044
AL590004.4	0.80317441	0.005210346
BDNF	0.529961191	0.005239079
PTX3	-0.434961666	0.005244606
PLEKHG2	0.670228184	0.005244606
AKIP1	-0.51237681	0.005274497
GPATCH4	-0.385790584	0.005276399
SHMT1	-0.611622156	0.005296304
TRIM52	0.582923406	0.005305343
LAMB2	0.518612823	0.005307029
ZNF610	1.09433326	0.005307029
AL137782.1	-1.352540274	0.005318975
CHCHD6	-0.704528659	0.005318975
RBX1	-0.519144444	0.005333368
PBXIP1	0.392736843	0.005353445
IL33	0.642921068	0.005411764
PSMD8	-0.38369349	0.005415197
POLE3	-0.360169084	0.005433301
FBXO5	-0.512316648	0.005434315
OSBP2	-0.408314796	0.005434315
SGO1	-0.677923789	0.005442368
ZSWIM4	0.424135063	0.005447501
TOR3A	-0.482975001	0.005457343
AC023509.1	0.752373248	0.005466543
LMNTD2	1.074146769	0.005493283
ICOSLG	0.743993311	0.005493693
SEC24A	0.533610496	0.005502314
MLXIP	0.455835047	0.005503865
CAVIN3	-0.631920972	0.005517447
WHAMMP2	0.667814892	0.005538671
ITGA11	2.099376889	0.005558563
MRPS16	-0.603305499	0.005603757
GOLGA8R	1.101541363	0.005666658
GOLGA8R	1.101541363	0.005666658
RPP30	-0.518010968	0.005666658
MLLT11	-0.390906155	0.005678151
MYH16	-1.875052738	0.005687204
SIK1	0.737032645	0.005708683
DLC1	0.605515583	0.005715738
ZNF654	0.637289177	0.005715738
PER3	0.861685363	0.005727245
NECTIN3	0.777058391	0.005733582
BANF1	-0.580037657	0.00575077
DGKD	0.639088548	0.005765922
THSD1	-0.378471255	0.005773518
PPP1CB	0.40032918	0.005798729
SRSF7	-0.446032819	0.005820345
CLIP2	0.358356192	0.005820345
GATA6	0.415089517	0.005827639
ARRDC1-AS1	-0.573330275	0.005866907
EIF6	-0.534932052	0.005866907
KDM2A	0.345905791	0.005933559
SPOPL	0.595626017	0.005937665
VCAM1	0.875750233	0.005940441
SOCS3	-0.474121848	0.005977376
PYURF	-0.364898051	0.005977858
IRF2BP2	0.327519268	0.005990269
VSIG1	-0.698582175	0.006006339
SLC10A3	0.383595099	0.00601149
TXNDC16	0.622569364	0.006011832
C15orf54	0.577458731	0.006093705
SUCLG1	-0.449354716	0.00610258
PREP	0.337911959	0.006105824
GOLPH3	0.320459521	0.006105824
REC8	-0.5997108	0.006127911
CIAPIN1	-0.369373268	0.006157296
SUPT6H	0.30220747	0.006157296
NRP2	0.465501196	0.006158913
LINC02001	-1.116347074	0.006161717
TGFB1	0.421663285	0.006161717
PSMA7	-0.507417796	0.00618764
SPC25	-0.651715343	0.006192466
SFXN4	-0.55618702	0.006193998
PINX1	-0.522113944	0.006194539
C4orf32	-0.338642667	0.006194539
ICAM2	-0.420051826	0.006228027
DCXR	-0.568990736	0.006234894
MRPL39	-0.575338332	0.006270447
MCM8	-0.604001684	0.006270447
ZDHHC23	0.808064242	0.00630504
SZT2-AS1	1.101041179	0.006337812
CYTL1	-0.521950909	0.006337812
HOMER3	-0.563049033	0.006357103
HRH1	0.449266923	0.006370639
RIN2	0.435097897	0.006390841
FTH1	-0.439086006	0.006403099
PPP1R35	-0.701751454	0.006418159
EMC4	-0.47426288	0.006419687
MALL	-0.276097705	0.006479552
MRPL55	-0.655237412	0.006508494
ARHGEF6	0.53285812	0.006512258
APOLD1	0.615110048	0.006529741
FOXA1	-0.971466627	0.006546944
AC019069.1	-0.941494073	0.006546944
CREB3L2	0.527309129	0.006553501
LMNA	-0.430196282	0.006559938
AC068946.1	0.888610536	0.006582083
GALNT2	0.258881091	0.006591077
ATP5L	-0.525698266	0.006601549
MECOM	0.490672	0.006602205
MMS19	0.299274088	0.006602205
POLR2L	-0.699006313	0.00661329
COQ6	-0.473822889	0.006639203
SNRNP25	-0.634136775	0.006647712
GOLGA8M	1.53066057	0.006677604
AC132938.6	1.192375438	0.006705764
LMNB2	-0.348484604	0.006720229
NIT2	-0.532593489	0.006734144
COA1	-0.495641712	0.006760961
COA6	-0.623406002	0.006790708
POGZ	0.51497156	0.006807987
WSB1	0.43067001	0.006833688
STARD4-AS1	0.723192897	0.006843768
IRAK4	0.384815331	0.006843768
CENPU	-0.478492697	0.006853784
PHF2	0.362538134	0.006860461
TMEM14B	-0.51465001	0.006860461
SDF2L1	-0.709304476	0.006910679
ZBTB10	0.475599776	0.006912373
STAB2	2.284556545	0.006918604
ABCF2	-0.517468821	0.006936425
LARP6	-0.582583131	0.006989164
CAD	-0.303444796	0.006989164
TRIM24	0.309179846	0.006998784
CDCA2	-0.46728515	0.007003565
NFATC2	0.581007361	0.007016254
TPMT	-0.47147898	0.007020959
MICAL2	0.575504737	0.007052947
ACVRL1	0.317572212	0.007055679
FANCG	-0.552732098	0.007057282
MAP2K3	-0.446604946	0.007068232
ICMT	-0.331203728	0.007087229
CBLN3	0.792967612	0.007110399
FABP5	-0.504294361	0.007132059
C19orf47	-0.575954795	0.007133905
ADAM10	0.5047587	0.007206072
RPL35A	-0.556758264	0.00722166
XIST	0.630286343	0.007229249
NET1	-0.393290136	0.007229249
MPI	0.34957204	0.0072407
EXOSC5	-0.671794964	0.007299292
RPS29	-0.745812464	0.007299292
SLC16A6	0.72836031	0.007299292
ZNF629	0.32252479	0.007299292
OSBPL10	0.431129121	0.007300352
FAM118A	0.41065027	0.007304223
PGP	-0.63921165	0.007328465
CNTNAP1	0.363076295	0.007333007
SF3B5	-0.549527851	0.007341613
SRXN1	-0.366864938	0.007350851
MDH1	-0.396987511	0.007365888
NFE2L1	0.401908935	0.007371665
COL4A5	0.471499677	0.007399819
DHFR	-0.308106244	0.007399819
KIT	0.48779602	0.007418428
PCYOX1	0.491717299	0.007418428
TRMT6	-0.597826601	0.007445469
NDUFA7	-0.839432928	0.007473729
ETS1	0.432542255	0.007473729
STXBP1	0.418570033	0.007473729
TIMP2	0.273885645	0.007473729
PSMB7	-0.402851146	0.007544816
C7orf49	-0.422555505	0.007544816
LNX2	0.506949683	0.007575761
POLR2F	-0.583807127	0.007628247
MRPS34	-0.540651616	0.00763514
FLNB	0.427423232	0.007655947
LSM7	-0.696780166	0.007770508
KIAA0141	0.276759146	0.007780842
EIF4A2	0.301636817	0.007803005
PLEKHF1	-0.672119242	0.007806748
TFB1M	-0.595195732	0.00782306
STS	0.467694006	0.007826137
MORC3	0.411629272	0.007874363
SERINC3	0.375767219	0.007883726
MAP3K5	-0.428492639	0.007888868
RFC5	-0.510847601	0.00792218
ITPKB	0.328002604	0.007929538
CCM2L	-0.497398667	0.007996117
TNFSF18	0.464584533	0.007996117
TIMP1	-0.542105614	0.008007022
RGS2	-0.572985045	0.008007022
AP000924.1	1.320009723	0.008008377
SMIM12	-0.422230012	0.008008377
GABBR1	0.549175709	0.008042878
TFDP1	-0.332254132	0.008043063
SSBP4	-0.584057866	0.008075104
LASP1	0.27062439	0.008136791
ZIK1	1.107026201	0.008136791
KLHL28	0.620208343	0.008166615
GTF2IP1	0.316985794	0.00817293
EMC6	-0.585484924	0.00817293
RFC4	-0.607083169	0.008176112
RPS15A	-0.462219104	0.008176543
PIGU	-0.510485084	0.008205279
PRMT1	-0.453373735	0.008208947
FAM114A1	0.441499144	0.008225307
CLN6	-0.428960193	0.008268833
G6PC3	-0.457144603	0.008302532
FAIM	-0.598470058	0.008308836
PPIL1	-0.473537125	0.008317992
RAB33B	0.471546414	0.008321626
HMGN1	-0.315600011	0.008337962
IGF2BP2	0.420460368	0.008367227
MIPEP	-0.50751126	0.008368883
NFIB	0.464058911	0.008396884
PCLAF	-0.480808236	0.008408041
ECHS1	-0.462623768	0.008423705
RAN	-0.501001243	0.008439468
AC105383.1	1.399007882	0.008450579
MT-ND4	-0.408711692	0.008475919
CACNB3	0.364816269	0.00849029
SNRPD2	-0.679031152	0.00849029
DUSP4	-0.275478385	0.008516221
AP2S1	-0.596416102	0.008516221
GATC	-0.298797543	0.008532585
FANCA	-0.456316024	0.008565407
TRIAP1	-0.441456629	0.008645092
TMEM44	0.327838893	0.008659906
MECR	-0.592733921	0.00867818
CD320	-0.59236854	0.008716175
LSM2	-0.527921027	0.008716175
NORAD	0.355548152	0.0087195
PTBP2	0.531349868	0.008720522
PTPN21	0.461711104	0.008751671
CETN3	-0.555720496	0.008751671
LDHB	-0.391381201	0.00875705
FAM78A	-0.406443772	0.00877499
NOL6	-0.319081122	0.00878102
GRPEL1	-0.402506882	0.008794943
MPC2	-0.454553319	0.008794943
TDP1	-0.396277843	0.008815318
ADA2	0.347377768	0.008821998
HSD17B12	0.341135551	0.008821998
NECTIN1	-0.44457182	0.008821998
OSBPL7	0.419782912	0.008837142
RIC1	0.585137838	0.008848305
CCDC51	-0.540908983	0.008855889
DPM3	-0.78903233	0.008910184
LRRC3	0.402756816	0.008910184
COX6B1	-0.559123219	0.008994905
XRCC6	-0.353262607	0.008994905
ITGB1	0.37547616	0.009011058
NDUFB7	-0.668955367	0.009028693
BROX	0.42875083	0.009046047
KCNAB2	0.765795341	0.009046047
PLCG1	0.368054848	0.009053563
TOMM6	-0.555673745	0.009053563
RUSC2	0.318316135	0.00909813
VPS9D1-AS1	-0.487757489	0.009140236
RPUSD1	-0.52414803	0.009202083
POC1A	-0.527151593	0.009246707
PPA1	-0.41968843	0.009293298
SRPK2	0.34797112	0.00932221
PHYKPL	0.339381967	0.009342899
WDR74	-0.439706296	0.009353031
PSMB1	-0.467954829	0.009353031
CD46	0.378754584	0.009361202
PUF60	-0.398271634	0.009361202
MAP3K12	0.338850519	0.009364938
SLC43A3	0.388962012	0.009374368
MON1A	-0.454607678	0.009374368
PPM1F	-0.296759032	0.009403282
NDC1	-0.397562533	0.009418807
JPT1	-0.463983205	0.009534499
MRPS11	-0.539450496	0.009534499
GRK6	-0.411690491	0.009537591
RPS21	-0.656193867	0.009558557
ZBTB8OS	-0.575484565	0.009591833
AC138866.2	1.393222499	0.009628809
SNHG19	-0.804956632	0.00963899
SNX19	0.387162125	0.009645719
TM9SF4	0.285094029	0.009645719
CTSO	0.467061255	0.009649055
PRMT3	-0.609035872	0.009664245
MRPL51	-0.475116624	0.009675085
GCOM1	-0.630047218	0.009714045
KCTD7	0.3935681	0.009766977
HAUS1	-0.388096352	0.009775003
MRPL14	-0.618949711	0.009797955
SPTBN2	-0.586544825	0.009828158
CNOT6L	0.630833956	0.009828158
ERG	0.372616226	0.009828158
SRSF3	-0.39969227	0.009839819
NUTF2	-0.457129786	0.009840139
PYCR2	-0.452599054	0.009870523
SLC38A5	-0.512796493	0.009870523
TARS2	-0.423245178	0.009870523
SEMA4G	0.618056812	0.00990074
FMNL2	0.45798392	0.009907413
RASA4	0.670538394	0.009932333
RASA4	0.670538394	0.009932333
ATXN1	0.456858855	0.009953559
KIF23	-0.420387166	0.009953559
KIAA1524	-0.505756193	0.009956629
CDR2	0.38067654	0.009971064
CDR2	0.38067654	0.009971064
RBM8A	-0.36990113	0.009999133
CARD8-AS1	-0.524312671	0.010041183
COX5B	-0.460970825	0.010051798
